student_id,course_id,enrolled_dt
27,16,2025-06-16
27,15,2025-06-22
27,3,2025-07-02
28,28,2025-07-19
28,12,2025-09-23
28,15,2024-12-16
28,7,2025-03-22
28,3,2025-05-31
29,26,2025-02-19
29,11,2025-08-22
29,7,2025-01-26
29,20,2024-12-05
29,13,2025-03-23
29,6,2025-01-18
30,19,2024-11-21
30,15,2025-01-13
30,22,2025-07-12
30,8,2025-02-05
31,21,2025-09-12
31,5,2024-10-03
31,7,2025-08-10
31,27,2024-09-13
31,6,2025-02-21
31,9,2024-12-16
32,27,2025-04-21
32,7,2025-08-04
32,5,2024-12-11
32,21,2024-12-27
32,28,2025-06-18
33,21,2025-08-13
33,8,2025-05-14
33,24,2025-07-15
33,6,2025-08-18
34,28,2025-07-23
34,22,2024-11-17
34,24,2025-06-20
34,2,2024-10-27
34,4,2025-04-05
34,14,2025-06-19
35,25,2024-12-16
35,5,2025-01-03
35,20,2024-11-23
36,8,2024-11-08
36,9,2025-01-23
36,15,2025-02-01
36,7,2024-09-22
36,16,2025-02-08
37,13,2024-12-15
37,7,2025-09-29
37,20,2025-02-23
37,28,2024-12-21
38,8,2025-04-30
38,4,2024-10-16
38,11,2025-06-26
38,18,2025-09-14
39,27,2025-06-12
39,18,2025-07-02
39,7,2025-04-03
40,3,2025-07-28
40,24,2025-01-02
40,4,2024-11-06
40,11,2024-09-19
40,9,2025-01-09
41,27,2025-03-31
41,3,2025-08-17
41,8,2024-11-19
41,17,2025-07-16
41,10,2024-10-25
42,3,2025-01-16
42,15,2024-11-30
42,13,2025-04-09
43,8,2025-09-14
43,10,2025-07-27
43,24,2025-04-28
43,18,2025-09-21
43,15,2024-09-15
44,5,2025-02-12
44,23,2025-03-14
44,7,2024-09-28
44,14,2025-04-28
44,1,2025-08-25
45,11,2024-10-28
45,8,2025-09-03
45,15,2024-11-27
45,5,2025-05-17
45,25,2025-09-02
45,7,2025-05-25
46,14,2024-11-24
46,26,2025-08-23
46,4,2025-03-13
46,10,2025-04-23
47,14,2025-01-02
47,6,2024-12-25
47,22,2025-05-06
47,10,2025-06-06
47,24,2024-12-29
47,27,2025-06-16
48,22,2025-05-01
48,27,2025-03-01
48,12,2025-08-21
48,25,2024-09-01
48,18,2025-05-14
49,25,2025-03-29
49,17,2025-08-29
49,27,2025-01-14
49,12,2024-09-16
49,18,2024-09-21
49,22,2025-05-03
50,20,2025-07-25
50,5,2025-05-07
50,10,2025-01-25
51,1,2025-02-03
51,23,2025-07-23
51,24,2024-09-15
51,22,2024-09-14
52,22,2025-01-16
52,17,2024-10-17
52,9,2024-10-12
53,19,2024-11-12
53,25,2024-10-29
53,7,2025-01-31
53,18,2024-09-03
54,25,2025-04-02
54,11,2025-04-12
54,12,2025-06-01
55,13,2025-08-02
55,25,2025-06-02
55,28,2025-01-22
55,14,2024-12-26
55,19,2024-10-10
56,18,2025-02-24
56,16,2025-05-20
56,8,2024-11-04
56,25,2025-05-23
56,19,2025-08-23
56,22,2024-10-08
57,7,2025-08-08
57,4,2024-09-08
57,10,2025-03-26
57,12,2025-04-12
57,22,2025-08-25
57,16,2025-07-02
58,26,2025-02-08
58,6,2024-10-21
58,7,2024-09-24
59,9,2025-03-27
59,12,2024-09-04
59,2,2025-03-17
60,18,2024-09-29
60,1,2024-12-26
60,28,2025-03-06
60,13,2025-01-20
61,26,2024-09-13
61,28,2025-05-28
61,19,2025-02-21
61,22,2025-01-21
62,22,2025-02-10
62,16,2025-03-26
62,6,2024-09-15
62,27,2025-01-27
63,25,2025-09-16
63,24,2024-12-27
63,4,2025-02-13
63,6,2025-03-28
63,20,2025-01-06
63,5,2025-04-16
64,3,2025-01-14
64,9,2025-06-19
64,25,2025-05-03
64,23,2025-03-22
64,2,2025-01-04
64,21,2025-07-10
65,14,2025-07-20
65,7,2025-05-21
65,25,2025-08-27
65,6,2024-10-22
65,1,2024-10-02
66,28,2025-03-08
66,20,2024-12-22
66,14,2025-06-14
66,3,2025-09-10
66,17,2025-06-25
67,9,2025-05-10
67,4,2024-11-15
67,7,2025-08-25
67,18,2025-01-03
67,16,2025-03-10
68,13,2025-03-12
68,22,2024-12-15
68,20,2025-04-06
68,27,2025-06-06
69,22,2024-11-03
69,12,2024-09-30
69,19,2024-12-23
69,27,2024-11-26
69,24,2025-06-28
69,21,2025-05-27
70,12,2025-08-24
70,13,2024-09-21
70,26,2024-11-19
70,1,2025-03-16
70,21,2025-07-13
71,26,2025-04-25
71,12,2025-02-18
71,5,2025-04-26
71,17,2025-09-08
71,15,2025-01-03
72,2,2024-09-10
72,23,2025-07-10
72,14,2025-02-15
73,13,2025-05-21
73,24,2025-09-08
73,16,2024-09-05
74,1,2025-06-24
74,5,2025-03-15
74,2,2025-05-01
75,4,2025-03-10
75,18,2025-09-09
75,8,2024-10-13
76,18,2025-05-18
76,15,2024-12-27
76,22,2025-05-04
77,10,2025-02-11
77,3,2025-04-13
77,1,2024-11-02
77,13,2025-06-29
77,17,2025-02-18
77,26,2024-12-10
78,16,2025-02-08
78,10,2025-04-18
78,14,2025-01-21
78,26,2025-09-14
79,25,2025-06-08
79,15,2025-03-13
79,2,2024-12-08
80,25,2025-06-16
80,15,2025-01-13
80,14,2024-09-04
80,19,2025-05-29
80,20,2025-04-22
80,10,2025-07-17
81,24,2025-09-18
81,8,2025-06-05
81,20,2025-03-21
81,14,2025-04-16
81,12,2025-07-27
81,15,2024-09-04
82,8,2025-09-06
82,5,2024-09-02
82,27,2025-02-12
82,3,2025-05-05
82,18,2025-05-12
83,16,2024-11-06
83,3,2025-08-25
83,19,2024-11-09
83,22,2024-09-23
83,1,2024-11-27
83,6,2024-11-06
84,27,2024-11-26
84,9,2024-12-24
84,19,2025-08-04
84,25,2025-08-02
85,5,2025-06-30
85,21,2025-09-08
85,20,2025-07-27
85,18,2025-02-13
85,4,2025-07-09
86,8,2025-01-06
86,19,2025-03-14
86,21,2025-02-03
86,20,2024-12-15
87,18,2024-09-18
87,3,2025-04-23
87,4,2024-11-22
88,2,2025-05-24
88,19,2025-06-02
88,26,2025-04-06
88,1,2025-07-10
89,14,2025-06-06
89,11,2024-10-05
89,13,2025-01-14
89,24,2025-01-22
90,20,2025-04-22
90,17,2025-01-30
90,24,2025-05-07
91,7,2025-06-16
91,3,2025-01-25
91,11,2024-09-20
91,14,2024-10-30
91,2,2024-10-18
92,5,2025-07-13
92,18,2025-02-11
92,8,2025-05-29
92,20,2025-07-08
92,22,2025-05-19
93,10,2025-05-08
93,3,2025-02-25
93,14,2025-08-03
93,25,2025-06-25
93,28,2024-12-27
93,20,2025-02-26
94,26,2025-04-20
94,3,2025-07-24
94,10,2024-10-15
94,11,2025-05-28
94,27,2025-09-13
95,13,2024-10-27
95,26,2024-10-16
95,23,2025-08-08
95,28,2025-03-28
95,5,2025-07-07
95,9,2025-02-03
96,15,2025-07-07
96,22,2025-03-10
96,2,2025-04-17
97,19,2025-03-13
97,18,2025-07-29
97,3,2024-10-25
97,26,2024-11-16
98,14,2025-09-17
98,12,2025-08-03
98,1,2025-08-27
98,9,2025-05-27
99,9,2024-11-15
99,28,2025-07-11
99,21,2025-09-20
99,18,2025-04-18
99,27,2025-03-03
100,13,2025-03-08
100,7,2025-05-15
100,2,2025-01-19
100,22,2025-06-08
101,2,2024-10-22
101,26,2025-08-23
101,1,2025-09-22
102,3,2024-12-16
102,7,2025-05-18
102,11,2024-12-19
103,15,2025-06-18
103,10,2025-02-07
103,18,2025-04-23
103,6,2025-04-26
103,20,2025-07-27
104,4,2025-02-23
104,21,2025-01-16
104,17,2025-06-08
104,5,2025-04-25
104,11,2025-08-07
105,2,2025-03-18
105,19,2025-02-07
105,5,2024-10-01
106,6,2025-06-21
106,24,2025-06-03
106,2,2024-11-27
106,15,2024-09-25
106,11,2024-12-16
106,8,2024-12-31
107,11,2025-04-01
107,27,2025-07-10
107,21,2025-09-12
108,5,2024-09-17
108,6,2025-08-28
108,23,2024-10-05
108,26,2025-01-07
108,25,2025-03-25
108,19,2024-11-01
109,22,2025-02-04
109,15,2025-03-21
109,14,2025-08-05
109,9,2024-12-08
109,28,2024-10-23
109,12,2025-09-04
110,19,2025-01-15
110,15,2025-07-18
110,20,2025-01-12
111,8,2024-12-22
111,7,2025-07-31
111,16,2025-02-21
111,10,2025-06-14
111,2,2025-02-09
112,24,2025-05-19
112,21,2025-05-01
112,18,2025-07-22
112,25,2025-01-14
113,1,2025-02-26
113,10,2024-12-14
113,17,2025-08-17
114,10,2025-05-17
114,9,2025-04-03
114,14,2025-05-09
115,6,2024-12-21
115,14,2025-01-10
115,18,2025-06-12
115,7,2025-03-19
115,1,2025-06-12
116,27,2025-03-17
116,7,2025-07-07
116,20,2024-11-25
116,12,2024-12-07
117,27,2024-09-21
117,10,2024-11-23
117,8,2025-09-24
117,11,2025-02-27
117,17,2025-01-04
118,10,2025-07-04
118,24,2025-05-03
118,1,2024-10-21
118,9,2025-04-12
118,25,2024-12-17
118,5,2025-03-07
119,12,2025-07-17
119,18,2025-05-03
119,26,2025-04-27
119,23,2024-09-07
119,13,2025-04-06
120,13,2025-01-10
120,23,2025-04-07
120,8,2024-10-24
120,9,2025-02-17
121,19,2025-05-04
121,13,2025-02-07
121,23,2025-08-25
121,17,2025-09-12
121,21,2025-08-06
122,5,2024-11-25
122,8,2025-01-05
122,20,2025-07-11
123,2,2024-11-22
123,10,2025-05-25
123,26,2025-06-02
123,17,2025-02-16
123,21,2025-02-28
123,15,2024-09-25
124,2,2025-09-01
124,4,2025-05-06
124,3,2025-06-15
124,11,2025-02-06
124,16,2024-10-12
124,10,2024-11-11
125,1,2025-02-24
125,7,2025-06-10
125,17,2024-10-14
126,16,2024-09-06
126,17,2025-09-11
126,21,2025-05-17
126,28,2025-01-28
127,2,2025-07-15
127,17,2025-09-14
127,1,2024-10-29
127,14,2025-02-11
127,10,2024-10-22
127,24,2025-09-20
128,4,2025-09-16
128,21,2025-09-18
128,24,2025-09-09
128,2,2025-09-29
128,14,2024-10-26
128,18,2024-12-13
129,20,2024-09-25
129,24,2025-02-27
129,19,2025-07-03
129,28,2024-09-02
129,22,2025-07-07
130,22,2025-06-08
130,18,2025-08-06
130,5,2025-09-09
130,20,2025-03-03
130,7,2025-07-14
130,6,2025-02-16
131,25,2025-02-02
131,2,2025-08-06
131,20,2024-12-25
131,14,2024-11-12
131,7,2025-07-13
132,27,2025-09-30
132,22,2024-11-04
132,19,2025-02-13
133,13,2025-09-11
133,10,2024-11-03
133,20,2025-08-14
133,5,2025-03-11
133,23,2024-12-31
134,12,2025-01-21
134,19,2025-08-02
134,1,2024-10-17
134,24,2024-09-19
134,28,2024-09-09
135,27,2025-09-11
135,9,2025-07-11
135,11,2025-01-13
135,17,2024-12-26
135,2,2025-01-03
135,13,2025-09-17
136,8,2025-09-27
136,4,2025-07-16
136,14,2024-12-27
137,8,2025-08-02
137,19,2024-09-03
137,23,2025-09-07
138,28,2025-08-24
138,24,2025-02-02
138,17,2025-03-23
138,12,2024-09-21
138,8,2025-02-26
138,22,2024-12-01
139,11,2025-08-07
139,23,2025-05-15
139,27,2025-09-09
139,6,2025-08-02
140,3,2025-07-19
140,6,2025-04-29
140,28,2025-07-15
